fold,model,test_start,test_end,n_test,qlike,mse_log,mae_vol
1,har_rv,2014-01-01,2014-12-31,253,0.5727662388034561,1.5580581107657019,0.0031414851281924326
1,garch11,2014-01-01,2014-12-31,253,0.4698770834695496,1.3301048161349487,0.0028033387769645624
1,ridge,2014-01-01,2014-12-31,253,0.39127164274223725,1.0241085358445396,0.0023999720783297396
1,lasso,2014-01-01,2014-12-31,253,0.3926691572426697,1.0300401663117356,0.0024076337205433417
1,svr,2014-01-01,2014-12-31,253,0.4329905365518506,0.904047231824676,0.0022635387609034685
1,xgboost,2014-01-01,2014-12-31,253,0.44052873842309465,1.1953517390803343,0.0026205673328160814
2,har_rv,2015-01-01,2015-12-31,252,0.8586150678257246,1.0952931347584598,0.003333399626521633
2,garch11,2015-01-01,2015-12-31,252,0.614046370913767,1.288960914539614,0.0036926878731744646
2,ridge,2015-01-01,2015-12-31,252,0.6333366615051176,0.9624747990957178,0.003197094437501374
2,lasso,2015-01-01,2015-12-31,252,0.6332786673201519,0.9616958145741561,0.0031961635484705183
2,svr,2015-01-01,2015-12-31,252,0.6790317593476792,0.9690364880925719,0.003265253915177623
2,xgboost,2015-01-01,2015-12-31,252,0.6696294636673429,0.9384906133513394,0.00306127788380619
3,har_rv,2016-01-01,2016-12-31,252,0.6971362647328424,1.3269760768674705,0.003175068742259287
3,garch11,2016-01-01,2016-12-31,252,0.6573771299403605,1.2918205076276537,0.0032305450512553524
3,ridge,2016-01-01,2016-12-31,252,0.6281466901630713,0.9055197960036616,0.002506189349545086
3,lasso,2016-01-01,2016-12-31,252,0.6273419323283089,0.9073158822551114,0.002508605303821693
3,svr,2016-01-01,2016-12-31,252,0.6348478859150867,0.8448823594425487,0.0024098113552574363
3,xgboost,2016-01-01,2016-12-31,252,0.5530870723198709,0.8583380983500234,0.002549577889504408
4,har_rv,2017-01-01,2017-12-31,251,0.6932852589123241,2.395173587878796,0.003099250569852125
4,garch11,2017-01-01,2017-12-31,251,0.5428309083639066,1.729015161572527,0.0023853629912024992
4,ridge,2017-01-01,2017-12-31,251,0.44763069591253946,1.2595027890898651,0.00189242851121633
4,lasso,2017-01-01,2017-12-31,251,0.44928793027843383,1.2695293110907555,0.0019018141827694074
4,svr,2017-01-01,2017-12-31,251,0.4160433096814496,1.0310079735217892,0.0016435677677132908
4,xgboost,2017-01-01,2017-12-31,251,0.4169539403255972,1.012415710762075,0.0016234260852788795
5,har_rv,2018-01-01,2018-12-31,251,1.1077764831346937,1.35901553107193,0.0039678457302876145
5,garch11,2018-01-01,2018-12-31,251,0.492361158813133,0.996110199404549,0.003525549385334955
5,ridge,2018-01-01,2018-12-31,251,0.6192018533529949,0.9079616878597812,0.003328924578485227
5,lasso,2018-01-01,2018-12-31,251,0.619587479397012,0.9089455167775383,0.0033322710869307863
5,svr,2018-01-01,2018-12-31,251,0.6119944425925392,0.8248068812948393,0.003170074235638261
5,xgboost,2018-01-01,2018-12-31,251,0.5362252892266104,0.8255838742364804,0.0031816107060550097
6,har_rv,2019-01-01,2019-12-31,252,0.5666273782256757,1.0959336608750108,0.0027656294653263026
6,garch11,2019-01-01,2019-12-31,252,0.49082268573728227,1.2285016094126024,0.003132626369806384
6,ridge,2019-01-01,2019-12-31,252,0.5093051012618831,0.8324244489692751,0.0024571111799529055
6,lasso,2019-01-01,2019-12-31,252,0.5078989101456375,0.8327122495424675,0.0024553983131830335
6,svr,2019-01-01,2019-12-31,252,0.5108642411876237,0.8135151157779824,0.002412610692211101
6,xgboost,2019-01-01,2019-12-31,252,0.4918688693851243,0.8189045275919579,0.0023793545632920833
7,har_rv,2020-01-01,2020-12-31,253,1.9769069903257144,2.2266119799262882,0.017776568244504402
7,garch11,2020-01-01,2020-12-31,253,0.7686379794490521,1.10178520289819,0.006623611569740667
7,ridge,2020-01-01,2020-12-31,253,1.141876678577064,1.2638600094325694,0.008144568680831694
7,lasso,2020-01-01,2020-12-31,253,1.1387748356229714,1.248131055834853,0.007966134692081937
